Element Name,Windows NT,Windows,Windows CE,Win32s,Component,Component Version,Header File,Import Library,Unicode,Element Type
Members Property (AddressEntry Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Messages Property (Folder Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
MonthOfYear Property (RecurrencePattern Object),,,,,CDO,CDO 1.2,,cdo.dll,,property
Name Property (AddressEntry Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Name Property (AddressEntryFilter object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
Name Property (AddressList Object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
Name Property (Attachment Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Name Property (Field Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Name Property (Folder Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Name Property (GroupHeader Object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
Name Property (InfoStore Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Name Property (Recipient Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Name Property (Session Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
NoEndDate Property (RecurrencePattern Object),,,,,CDO,CDO 1.2,,cdo.dll,,property
Not Property (AddressEntryFilter object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
Not Property (MessageFilter Object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
Occurrences Property (RecurrencePattern Object),,,,,CDO,CDO 1.2,,cdo.dll,,property
OperatingSystem Property (Session Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Or Property (AddressEntryFilter object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
Or Property (MessageFilter Object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
Organizer Property (AppointmentItem Object),,,,,CDO,CDO 1.2,,cdo.dll,,property
Outbox Property (Session Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
OutOfOffice Property (Session Object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
OutOfOfficeText Property (Session Object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
Parent Property,,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
PatternEndDate Property (RecurrencePattern Object),,,,,CDO,CDO 1.2,,cdo.dll,,property
PatternStartDate Property (RecurrencePattern Object),,,,,CDO,CDO 1.2,,cdo.dll,,property
Position Property (Attachment Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
ProviderName Property (InfoStore Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
RawTable Property (AddressEntries Collection),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
RawTable Property (Folders Collection),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
RawTable Property (Messages Collection),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
ReadReceipt Property (Message Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Recipients Property (Message Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Recipients Property (MessageFilter Object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
RecurrenceType Property (RecurrencePattern Object),,,,,CDO,CDO 1.2,,cdo.dll,,property
ReminderMinutesBeforeStart Property (AppointmentItem Object),,,,,CDO,CDO 1.2,,cdo.dll,,property
ReplyTime Property (AppointmentItem Object),,,,,CDO,CDO 1.2,,cdo.dll,,property
Resolved Property (Recipients Collection),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
ResponseRequested Property (AppointmentItem Object),,,,,CDO,CDO 1.2,,cdo.dll,,property
RootFolder Property (InfoStore Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Sender Property (Message Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Sender Property (MessageFilter Object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
Sent Property (Message Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Sent Property (MessageFilter Object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
Session Property,,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Signed Property (Message Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Size Property (Message Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Size Property (MessageFilter Object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
Source Property (Attachment Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
StartTime Property (AppointmentItem Object),,,,,CDO,CDO 1.2,,cdo.dll,,property
StartTime Property (RecurrencePattern Object),,,,,CDO,CDO 1.2,,cdo.dll,,property
StoreID Property (Folder Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
StoreID Property (Message Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Subject Property (Message Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Subject Property (MessageFilter Object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
Submitted Property (Message Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Text Property (Message Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Text Property (MessageFilter Object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
TimeFirst Property (MessageFilter Object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
TimeLast Property (MessageFilter Object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
TimeReceived Property (Message Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
TimeSent Property (Message Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Type Property (AddressEntry Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Type Property (Attachment Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Type Property (Field Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Type Property (Message Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Type Property (MessageFilter Object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
Type Property (Recipient Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Unread Property (GroupHeader Object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
Unread Property (Message Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Unread Property (MessageFilter Object),,,,,CDO,CDO 1.1 and later,,cdo.dll,,property
Value Property (Field Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Version Property (Session Object),,,,,CDO,CDO 1.0a and later,,cdo.dll,,property
Add Method (Columns Collection),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
Add Method (Formats Collection),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
Add Method (Patterns Collection),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
Add Method (Views Collection),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
Clone Method (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
Clone Method (ObjectRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
CreateRenderer Method (RenderingApplication Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
Delete Method (Format Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
Delete Method (Pattern Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
IsSameAs Method (TableView Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
LoadConfiguration Method (RenderingApplication Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
Render Method (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
RenderHeading Method (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
RenderLink Method (ObjectRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
RenderPath Method (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
RenderProperty Method (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
RenderProperty Method (ObjectRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
Write Method (ObjectRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,interface method
IsSameAs Method (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,method
RenderAppointments Method (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,method
RenderDateNavigator Method (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,method
RenderEvents Method (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,method
Column Object,,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,object
Columns Collection Object,,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,object
ContainerRenderer Object,,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,object
Format Object,,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,object
Formats Collection Object,,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,object
ObjectRenderer Object,,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,object
Pattern Object,,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,object
Patterns Collection Object,,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,object
RenderingApplication Object,,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,object
TableView Object,,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,object
Views Collection Object,,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,object
BusyCell Property (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,property
BusyIndicator Property (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,property
Categories Property (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,property
Categories Property (TableView Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
CellPattern Property (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Class Property (All Objects),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
CodePage Property (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
CodePage Property (ObjectRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
CodePage Property (RenderingApplication Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Columns Property (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,property
Columns Property (TableView Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
ConfigParameter Property (RenderingApplication Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Count Property (Columns Collection),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Count Property (Formats Collection),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Count Property (Patterns Collection),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Count Property (Views Collection),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
CurrentView Property (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
DataSource Property (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
DataSource Property (ObjectRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Flags Property (Column Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Formats Property (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Formats Property (ObjectRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Formats Property (RenderingApplication Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
FormsRoot Property (RenderingApplication Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
FreeBusinessCell Property (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,property
FreeIndicator Property (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,property
FreeNonBusinessCell Property (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,property
HeadingCellPattern Property (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
HeadingRowPrefix Property (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
HeadingRowSuffix Property (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Index Property (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,property
Index Property (Column Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Index Property (TableView Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Interval Property (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,property
Item Property (Columns Collection),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Item Property (Formats Collection),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Item Property (Patterns Collection),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Item Property (Views Collection),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
LCID Property (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
LCID Property (ObjectRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
LCID Property (RenderingApplication Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
LinkPattern Property (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
LinkPattern Property (ObjectRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
LoggingLevel Property (RenderingApplication Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Mode Property (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,property
Name Property (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,property
Name Property (Column Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Name Property (Format Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Name Property (RenderingApplication Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Name Property (TableView Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
NumberOfUnits Property (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,property
OOFIndicator Property (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,property
Parent Property (All Objects),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Patterns Property (Format Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
PrivateStore Property (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Property Property (Column Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Property Property (Format Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
RenderUsing Property (Column Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
RenderUsing Property (Pattern Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
RowPrefix Property (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
RowsPerPage Property (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
RowSuffix Property (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Source Property (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,property
Source Property (TableView Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
TablePrefix Property (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
TableSuffix Property (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
TentativeIndicator Property (CalendarView Object),,,,,CDO Rendering,CDO 1.2,,cdohtml.dll,,property
Value Property (Pattern Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Version Property (RenderingApplication Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Views Property (ContainerRenderer Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
VirtualRoot Property (RenderingApplication Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
Width Property (Column Object),,,,,CDO Rendering,CDO 1.1 and later,,cdohtml.dll,,property
CMC_X_COM_ATTACH_CHARPOS,,,,,CMC,CMC 1.0,xcmcext.h,,,data extension
CMC_X_COM_CAN_SEND_RECIP,,,,,CMC,CMC 1.0,xcmcext.h,,,data extension
CMC_X_COM_CONFIG_DATA,,,,,CMC,CMC 1.0,xcmcext.h,,,data extension
CMC_X_COM_PRIORITY,,,,,CMC,CMC 1.0,xcmcext.h,,,data extension
CMC_X_COM_RECIP_ID,,,,,CMC,CMC 1.0,xcmcext.h,,,data extension
CMC_X_COM_SAVE_MESSAGE,,,,,CMC,CMC 1.0,xcmcext.h,,,data extension
CMC_X_COM_SENT_MESSAGE,,,,,CMC,CMC 1.0,xcmcext.h,,,data extension
CMC_X_COM_SUPPORT_EXT,,,,,CMC,CMC 1.0,xcmcext.h,,,data extension
CMC_X_COM_TIME_RECEIVED,,,,,CMC,CMC 1.0,xcmcext.h,,,data extension
CMC_X_MS_ADDRESS_UI,,,,,CMC,CMC 1.0,xcmcmsxt.h,,,data extension
CMC_X_MS_ATTACH_DATA,,,,,CMC,CMC 1.0,xcmcmsxt.h,,,data extension
CMC_X_MS_FUNCTION_FLAGS,,,,,CMC,CMC 1.0,xcmcmsxt.h,,,data extension
CMC_X_MS_MESSAGE_DATA,,,,,CMC,CMC 1.0,xcmcmsxt.h,,,data extension
CMC_X_MS_SESSION_FLAGS,,,,,CMC,CMC 1.0,xcmcmsxt.h,,,data extension
CMC_XS_COM,,,,,CMC,CMC 1.0,xcmcext.h,,,data extension
CMC_XS_MS,,,,,CMC,CMC 1.0,xcmcmsxt.h,,,data extension
cmc_act_on,,,,,CMC,CMC 1.0,xcmc.h,,,function
cmc_free,,,,,CMC,CMC 1.0,xcmc.h,,,function
cmc_list,,,,,CMC,CMC 1.0,xcmc.h,,,function
cmc_logoff,,,,,CMC,CMC 1.0,xcmc.h,,,function
cmc_logon,,,,,CMC,CMC 1.0,xcmc.h,,,function
cmc_look_up,,,,,CMC,CMC 1.0,xcmc.h,,,function
cmc_query_configuration,,,,,CMC,CMC 1.0,xcmc.h,,,function
cmc_read,,,,,CMC,CMC 1.0,xcmc.h,,,function
cmc_send,,,,,CMC,CMC 1.0,xcmc.h,,,function
cmc_send_documents,,,,,CMC,CMC 1.0,xcmc.h,,,function
CMC_boolean,,,,,CMC,CMC 1.0,xcmc.h,,,simple data type
CMC_buffer,,,,,CMC,CMC 1.0,xcmc.h,,,simple data type
CMC_enum,,,,,CMC,CMC 1.0,xcmc.h,,,simple data type
CMC_flags,,,,,CMC,CMC 1.0,xcmc.h,,,simple data type
CMC_object_identifier,,,,,CMC,CMC 1.0,xcmc.h,,,simple data type
CMC_return_code,,,,,CMC,CMC 1.0,xcmc.h,,,simple data type
CMC_session_id,,,,,CMC,CMC 1.0,xcmc.h,,,simple data type
CMC_string,,,,,CMC,CMC 1.0,xcmc.h,,,simple data type
CMC_ui_id,,,,,CMC,CMC 1.0,xcmc.h,,,simple data type
CMC_attachment,,,,,CMC,CMC 1.0,xcmc.h,,,structure
CMC_counted_string,,,,,CMC,CMC 1.0,xcmc.h,,,structure
CMC_extension,,,,,CMC,CMC 1.0,xcmc.h,,,structure
CMC_message,,,,,CMC,CMC 1.0,xcmc.h,,,structure
CMC_message_reference,,,,,CMC,CMC 1.0,xcmc.h,,,structure
CMC_message_summary,,,,,CMC,CMC 1.0,xcmc.h,,,structure
CMC_recipient,,,,,CMC,CMC 1.0,xcmc.h,,,structure
CMC_time,,,,,CMC,CMC 1.0,xcmc.h,,,structure
CMC_X_COM_configuration,,,,,CMC,CMC 1.0,xcmcext.h,,,structure
CMC_X_COM_support,,,,,CMC,CMC 1.0,xcmcext.h,,,structure
CMC_X_MS_ATTACH,,,,,CMC,CMC 1.0,xcmcmsx2.h,,,structure
AddPropSheetPageProc,3.1 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,prsht.h,user-defined,,callback function
ExtensionPropSheetPageProc,3.1 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,prsht.h,user-defined,,callback function
PropSheetPageProc,3.1 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,prsht.h,user-defined,Defined as Unicode and ANSI prototypes.,callback function
PropSheetProc,3.1 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,prsht.h,user-defined,,callback function
CreateMappedBitmap,3.51 or later,Windows 95 or later,2.0 or later,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
CreatePropertySheetPage,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,prsht.h,comctl32.lib,Implemented as Unicode and ANSI versions on Windows NT.,function
CreateStatusWindow,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,Implemented as Unicode and ANSI versions on Windows NT.,function
CreateToolbarEx,3.51 or later,Windows 95 or later,2.0 or later,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
CreateUpDownControl,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
DestroyPropertySheetPage,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,prsht.h,comctl32.lib,,function
DrawInsert,3.51 or later,Windows 95 or later,,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
DrawStatusText,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,Implemented as Unicode and ANSI versions on Windows NT.,function
FlatSB_EnableScrollBar,5.0 or later. Available also in IE 4.0 and later.,Windows 98. Available also in IE 4.0 and later.,,,CommCtrl,,commctrl.h,comctl32.lib,,function
FlatSB_GetScrollInfo,5.0 or later. Available also in IE 4.0 and later.,Windows 98. Available also in IE 4.0 and later.,,,CommCtrl,,commctrl.h,comctl32.lib,,function
FlatSB_GetScrollPos,5.0 or later. Available also in IE 4.0 and later.,Windows 98. Available also in IE 4.0 and later.,,,CommCtrl,,commctrl.h,comctl32.lib,,function
FlatSB_GetScrollProp,5.0 or later. Available also in IE 4.0 and later.,Windows 98. Available also in IE 4.0 and later.,,,CommCtrl,,commctrl.h,comctl32.lib,,function
FlatSB_GetScrollRange,5.0 or later. Available also in IE 4.0 and later.,Windows 98. Available also in IE 4.0 and later.,,,CommCtrl,,commctrl.h,comctl32.lib,,function
FlatSB_SetScrollInfo,5.0 or later. Available also in IE 4.0 and later.,Windows 98. Available also in IE 4.0 and later.,,,CommCtrl,,commctrl.h,comctl32.lib,,function
FlatSB_SetScrollPos,5.0 or later. Available also in IE 4.0 and later.,Windows 98. Available also in IE 4.0 and later.,,,CommCtrl,,commctrl.h,comctl32.lib,,function
FlatSB_SetScrollProp,5.0 or later. Available also in IE 4.0 and later.,Windows 98. Available also in IE 4.0 and later.,,,CommCtrl,,commctrl.h,comctl32.lib,,function
FlatSB_SetScrollRange,5.0 or later. Available also in IE 4.0 and later.,Windows 98. Available also in IE 4.0 and later.,,,CommCtrl,,commctrl.h,comctl32.lib,,function
FlatSB_ShowScrollBar,5.0 or later. Available also in IE 4.0 and later.,Windows 98. Available also in IE 4.0 and later.,,,CommCtrl,,commctrl.h,comctl32.lib,,function
GetEffectiveClientRect,3.51 or later,Windows 95 or later,,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_Add,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_AddMasked,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_BeginDrag,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_Copy,5.0 or later. Available also in IE 3.0 and later.,Windows 98. Available also in IE 3.0 and later.,,,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_Create,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_Destroy,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_DragEnter,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_DragLeave,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_DragMove,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_DragShowNolock,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_Draw,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_DrawEx,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_DrawIndirect,5.0 or later. Available also in IE 3.0 and later.,Windows 98. Available also in IE 3.0 and later.,,,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_Duplicate,5.0 or later. Available also in IE 4.0 and later.,Windows 98. Available also in IE 4.0 and later.,,,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_EndDrag,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_GetBkColor,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_GetDragImage,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_GetIcon,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_GetIconSize,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_GetImageCount,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_GetImageInfo,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_LoadImage,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,Implemented as Unicode and ANSI versions on Windows NT.,function
ImageList_Merge,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_Read,3.51 or later,Windows 95 or later,,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
ImageList_Remove,3.51 or later,Windows 95 or later,1.0 or later.,Yes,CommCtrl,,commctrl.h,comctl32.lib,,function
